	news_id	news_title	news_body	main_related_company_id	news_ac
5827	3797371	中国京剧表演艺术家洛杉矶为侨胞讲国粹京剧故事	"中新社洛杉矶5月3日电(记者毛建军)当地时间5月3日，中国著名京剧表演艺术家孙萍与叶金森在洛杉矶举办《京剧与梅兰芳》艺术讲座，为当地侨胞讲国粹京剧与中国文化故事。
中新社洛杉矶5月3日电(记者毛建军)当地时间5月3日，中国著名京剧表演艺术家孙萍与叶金森在洛杉矶举办《京剧与梅兰芳》艺术讲座，为当地侨胞讲国粹京剧与中国文化故事。
2014年适逢京剧大师梅兰芳先生诞辰120周年。孙萍与叶金森在2个半小时的时间里，用视频幻灯讲解，以及唱念做打示范，讲述中国京剧艺术故事。从走出梅兰芳等著名京剧艺术大师的中国京剧“黄埔军校”富连成社，到梅兰芳1930年访美经历，以及京剧艺术的流派与发展，令侨胞们大开眼界。
出于对京剧艺术深层的理解与热爱，孙萍早年在匈牙利做访问学者时就创造了动作戏剧。她努力把京剧中的动作表演融合到欧洲的歌舞剧中，使这些动作转变成一些东西方人都能看懂的“符号”而渗透到西方的戏剧中，让他们认识到京剧之美。孙萍的这一创举获得了成功，现在欧洲许多国家都成立了动作戏剧表演团，每年举行汇演。而要学习动作戏剧，就要先学中国的京剧。孙萍因此被匈牙利总统称为“中匈文化的大使”，并被授予“荣誉国民证章”。
孙萍在讲座现场向人们展示了她正在从事的一项庞大工程—《中国京剧，百部经典英译系列》丛书，这部丛书用中英双语、图文并茂的形式细致对京剧艺术做了讲解，其中既有剧本唱词的中英对照，也有人物服装扮相的图片解释。孙萍表示，这是首次系统地向世界用英语来展示京剧艺术，“相当于京剧的《四库全书》”。
91岁的台湾著名相声表演艺术家吴兆南听了孙萍与叶金森的讲座和表演后激动地说，“感到有一种要哭的冲动”。自幼酷爱京剧艺术的吴老先生表示，京剧太需要这样的推广了。
孙萍、叶金森在现场还与旅居美国的著名京剧表演艺术家李少春之子李洪林等相会交谈。
中国国家京剧院著名演员孙萍身兼中国人民大学国剧研究中心执行主任、北京外国语大学艺术研究院院长、匈牙利裴多菲大剧院特邀导演、美国耶鲁大学戏剧学院客座教授等职，她与丈夫、著名武生表演艺术家、富连成社叶氏家族的嫡系传人叶金森多年从事京剧艺术走出国门的推广，并取得卓著的成绩。(完)"	-1	0
23975	3819376	新国九条要点：对欺诈发行的上市公司实行强制退市	"　　国务院今日公布了《国务院关于进一步促进资本市场健康发展的若干意见》，俗称新国九条，其中明确表示“对欺诈发行的上市公司实行强制退市”。
　　（八）完善退市制度。构建符合我国实际并有利于投资者保护的退市制度，建立健全市场化、多元化退市指标体系并严格执行。支持上市公司根据自身发展战略，在确保公众投资者权益的前提下以吸收合并、股东收购、转板等形式实施主动退市。对欺诈发行的上市公司实行强制退市。明确退市公司重新上市的标准和程序。逐步形成公司进退有序、市场转板顺畅的良性循环机制。"	-1	0
25530	3821277	姚刚：不宜用交易所思维探讨新三板市场	"中国证监会副主席姚刚在参加“五道口金融论坛”时表示，对新三板认识，存在五方面的误区：
第一，不宜用交易所思维探讨新三板市场，由于新三板股份转让少，不同于交易所市场短进短出的情况，挂牌企业对股权转让需求并不强烈，不能如交易所那样频繁交易获得交易价差。
第二，不宜仅用挂牌企业是否转板上市、融资量来衡量新三板市场是否成功，挂牌企业大部分都不会转为上市公司，因为上市门槛比较高，很多企业在挂牌过程中就被收购兼并，或被装入上市公司间接上市，所以也不能说三板分流主场资金。
第三，要把新三板和区域性股权市场加以区分，新三板是全国性市场，是公开转让的市场，股东人数可以超过200人，区域性市场是非公开市场，不能当天买卖，只能做T+5，区域性股权市场的企业可以申请在新三板挂牌。
第四，市场对新三板监管存在误解，放松行政管制是否会导致欺诈横行。姚刚表示，证监会对新三板市场是采取加强事中事后监管的方式，未来，将在《证券法》修改时，把与之有关的法理写的更详细，来加强对新三板市场的监管，加入对欺诈发行上市的相关内容。
第五，门槛的低标准和投资者的高门槛是否存在矛盾，姚刚表示，因为有比较高的投资者适当性标准，所以把上市门槛降的比较低，让市场来选择，符合改革方向。
（证券时报网快讯中心）
(证券时报网)"	-1	0
4962	3796374	任正非：股东希望榨取所有油水没上市是正确的	"　　任正非表示，现实情况在于股东是贪婪的，股东希望榨取公司的所有油水，没有上市正是华为超过对手的原因之一。
　　据《南华早报》报道，中国最大的电话网络设备制造商华为技术正致力于在那些受到接纳的国家投资，因为美国对其动机的怀疑挥之不去。
　　华为创始人兼执行长任正非周五在伦敦的新闻发布会上向记者们表示，华为目前不应在美国花费太大气力，因为美国可能需要10年或20年才会知道华为是一家有操守的公司，华为将在那些接纳华为的国家加大投入。
　　69岁的任正非在1987年成立华为，之前在1983年自中国军方退役。从那以来，他把华为建成全球最大的电话网络设备制造商，仅次于易利信，这是在没有准入美国电信市场的情况下完成的。美国指控华为的设备可能会为中国情报机构提供机会通过电信网络进行间谍活动，未上市的华为多次对这一指控予以否认。任正非表示，华为不认为上市是建立信任的一个办法。
　　任正非表示，通过提升华为的透明度，华为可能仍无法消除美国政府的顾虑，现实情况在于股东是贪婪的，股东希望榨取公司的所有油水，没有上市正是华为超过对手的原因之一。
　　网络安全顾虑
　　尽管华为在努力打消阻碍其网络设备进入美国与澳大利亚的网络安全顾虑，该公司上个月表示，其营收到2018年将自去年的395亿美元成长77%，达到700亿美元。
　　为了达到这一目标，华为正在推出智慧手机、平板电脑、企业计算产品以及云服务来扩大其产品阵容。任正非承认，鉴于激烈的竞争，华为在说服客户购买其智慧手机方面面临挑战。
　　他说，没法来效仿苹果与三星的成长，华为必须要找到自己的办法，这需要一步一步来。
　　这一方式已开始奏效。国际数据公司(IDC)在1月份公布，除了三星电子与苹果以外，华为去年在全球的智慧手机销量超过其他所有公司，在全球的市场占有率自2012年的4%攀升至4.9%。
　　由于华为在消费产品方面面临的不利因素少于移动网络设备方面，从而使华为在消费产品方面取得成功成为可能。"	-1	0
20081	3814552	周四欧美市场重大事件及官员讲话	"　　--美联储主席耶伦在参议院预算委员会就经济展望提供证词
　　--美国财政部主管恐怖主义金融的助理部长格拉泽(DanielGlaser)在众议院外交事务委员会就“俄罗斯破坏乌克兰的稳定”提供证词
　　--费城联邦储备银行总裁普洛瑟就货币政策讲话
　　--圣路易斯联邦储备银行总裁布拉德在“美国青年一代的资产负债表：美国梦面临危机？”研究座谈会上致欢迎词
　　--欧洲央行[微博]管委会会议，此后发布利率决议、召开新闻发布会
　　--英国央行宣布利率决议"	-1	0
16597	3810396	武钢：“最美群体”激活老国企“新活力”	"新华网武汉５月７日电（记者熊金超李劲峰）最美高炉“管乐师”、最美硅钢“明珠”、最美“劳模”班长……在武汉钢铁集团基层一线职工中，活跃着一批“最美群体”。他们在工厂车间的普通岗位上爱岗敬业，默默奉献，向武钢十万职工传递正能量，成为支撑老国企焕发“新活力”的中坚。
新华网武汉５月７日电（记者熊金超李劲峰）最美高炉“管乐师”、最美硅钢“明珠”、最美“劳模”班长……在武汉钢铁集团基层一线职工中，活跃着一批“最美群体”。他们在工厂车间的普通岗位上爱岗敬业，默默奉献，向武钢十万职工传递正能量，成为支撑老国企焕发“新活力”的中坚。
武钢５６年前炼出第一炉铁水后，“为祖国、多炼钢”“困难活，我去干”就成为激励一代代武钢人的精神支柱。程潮铁矿采矿工王永胜带出的５０多个徒弟，有１３人当上全国、省市的劳模，自己却依旧是普通矿组班长。王永胜自豪地说，“当好幕后英雄，也是作贡献，这是武钢老一辈员工作风的传承”。
４１岁的王永胜参加工作不到半年就当上班长，而这个“职位”一干就是２０年。所在班组也成为劳模班，他这个班长却始终与劳模“无缘”。每次劳模评选，王永胜都乐当“吃亏人”，极力推荐其他成员参选。同班组的“湖北省劳模”肖军说，“胜哥”每天在矿井忙前忙后，为大伙送饭、守井、排障，一刻也没闲着，虽然他头上的矿产量是零，但全班组优异的产量成绩中，他这位不是劳模的“劳模”功不可没。
三峡工程举世瞩目，先期建设的２０多台水轮发电机中却没有一吨国产硅钢，这令武钢技术人员脸上无光。没有技术参考、没有工艺标准，在从零开始的条件下，硅钢事业部中的首个女首席工程师祝晓波从搜集武钢历年积累的工艺技术标准入手，根据用户提出的高要求，同时间赛跑，没日没夜守在实验室和生产现场，推进水轮发电机组核心硅钢材料国产化。
２０１１年５月，看到装备武钢研发的“中国芯”，装在三峡地下电站首台机组并网发电成功，祝晓波激动得泪水直淌。硅钢核心材料国产化，打破国外企业的技术垄断，还为武钢创造效益近亿元。５６岁的祝晓波被同事们誉为最美硅钢“明珠”。拥有数项发明专利，多次获得科技进步奖的祝晓波说：“‘嫁’给硅钢后，每次攻克技术难关，自己人生价值就在不断放大。”
１０多年坚守生产一线解决现场难题的“最美博士”陶桂林；９年坚守高炉冷却壁的维护岗位，又担起照料瘫痪在床妻子重任的最美高炉“管乐师”容双年；近３０年来捐赠助人不断，义务打扫卫生的爱心老人肖哲……今年初，这批武钢集团基层岗位上的“最美群体”，经过职工评选，当选为“最美武钢人”。
“最美群体”在一线岗位上执著坚守，也成为企业凝聚人心、激活士气的标杆。面对钢铁行业近年来遭遇的生产经营“寒冬”，武钢上下都在围绕“调结构、低成本”应对危机。炼钢总厂二分厂“最美炉长”曹锟带领团队，创造性地探索用每吨５０元的石灰石，替代每吨５００元的生石灰炼钢，仅此一项全年就能降低成本上千万元。二分厂技术员张思维说，石灰石替代攻关成功，重要原因是大家都受到曹锟“拼命三郎”式作风的感染，“每个人都贡献出自己的最大能量，就没有困难无法克服”。
武钢集团董事长邓崎琳说，武钢通过在基层培育和评选出一批“最美群体”，具有广泛的企业价值和社会价值。这些来自普通一线岗位的“最美群体”，感召广大职工向身边的榜样看齐，凝聚正能量，激发新活力。"	-1	0
26886	3822654	东北三省招聘会：服务业为啥难聘高端人才	"新华网长春5月11日电（记者李双溪、高楠）服务业虽然一直被誉为朝阳产业，具有巨大的发展潜力，然而高端人才不愿委身于酒店餐饮等行业，也使服务业面临人才瓶颈。10日，在长春市国际会展中心，来自东三省的875家企业为求职者提供超过2.3万个岗位，然而在很多服务行业台前却门可罗雀。
新华网长春5月11日电（记者李双溪、高楠）服务业虽然一直被誉为朝阳产业，具有巨大的发展潜力，然而高端人才不愿委身于酒店餐饮等行业，也使服务业面临人才瓶颈。10日，在长春市国际会展中心，来自东三省的875家企业为求职者提供超过2.3万个岗位，然而在很多服务行业台前却门可罗雀。
长春市中日友好会馆人力资源部主管赵东欣在咨询处等了一上午无人问津。他表示，未来服务业的发展将越来越面向国际化，对于高端人才的需求量很大，服务生不懂外语和涉外礼仪，无法与国外顾客交流，都将限制服务业的发展水平和层次。
“现在服务行业提供的薪酬都很高，也有五险一金，但仍然招不到本科以上的高端人才。主要是目前大学生对服务行业还存在偏见，感觉为别人服务是低人一等的工作。其实，服务行业是非常锻炼人的。”赵东欣说。
另一家吉林省餐饮公司的人事主管范文超也有同感，“我们未来要扩大两家店面，服务对象也是高端消费人群，但目前就是找不到高学历人才。大学生觉得抛头露面的工作太辛苦，不愿意做，都想在办公室里做文员，轻轻松松，不肯吃苦，怎么能赚到钱？”
在现场，记者随机采访的多位应届毕业生表示，工作不会考虑服务行业，大学毕业不想为人服务。“不想进服务行业，上大学这么多年，还是想找一份更体面的工作。”长春理工大学学生董超说。"	-1	0
24971	3820590	俄外交部呼吁乌克兰举行紧急对话	"　　俄罗斯外交部周五（5月9日）表示，俄外长拉夫罗夫（SergeiLavrov）同美国国务卿克里（JohnKerry）在电话里探讨了俄、美、欧盟以及欧安组织（OSCE）一起解决乌克兰危机可能的途径。
　　在电话里，拉夫罗夫强调需要通过欧安组织调解在基辅和乌克兰东南部地区之间举行紧急对话。
　　俄外交部还表示，拉夫罗夫要求美国帮助结束乌克兰军队在东南部地区的军事行动。
　　外交部在声明中称：“拉夫罗夫表示希望……美国可以同基辅密切合作，以结束在东南部的军事行动，释放政治犯并大赦抗议者。”
　　俄罗斯驻欧盟大使VladimirChizhov当天声称，正是美欧业余的政治路线导致了乌克兰危机。"	-1	0
7286	3798944	通州升级城区道路无障碍设施	"　　本报讯（通讯员冯维静李博楠）昨天，笔者自通州区市政市容委获悉，该区启动了城区重点大街主次干道无障碍设施改造工程，共涉及35条道路盲道。目前，该工程已动工，计划下月底完成。
　　近年来，通州城区部分盲道出现了破损、塌陷，以及被车辆占用、设计不合理等问题。
　　昨天一早，笔者在车站路东侧看到，几名施工人员正在掀拆旧盲道，并在地面上划出一条直线，重新铺设盲道砖。“这条路的盲道、停车位""合二为一""，为了既不影响盲人安全出行，又缓解停车难问题，这次我们将盲道往路东移2.5米，这样两者都不耽误了。”
　　随后，笔者又来到了几处破损、狭窄、设计不合理的盲道，如东营前街、梨园北街、玉带河西街，盲道也被重新改造。“这条""撞树的盲道""终于挪地了。”在怡乐中路，一位路人高兴地说。
　　据区市政市容委市政科工作人员介绍，此次启动的盲道改造工程，根据创建全国文明城区测评衡量标准，先期针对城区主要道路无障碍设施、盲道、缘石坡进行排查统计，共涉及35条主次干道的盲道、缘石坡道等无障碍设施改造，总面积约56000多平方米。改造内容包括对道路盲道破损、塌陷进行整修恢复，对道路口进行坡化处理，对无盲道的道路增设盲道。"	-1	0
3940	3795271	阿富汗山体滑坡超2000人失踪	"　　阿富汗官员2日说，东北部巴达赫尚省当天发生山体滑坡。地方官员说，山体滑坡导致几百个住户被埋，失踪人数成百上千。
　　两次滑坡
　　巴达赫尚省警方负责人法齐鲁丁·哈亚尔说，山体滑坡发生于当天中午前后。
　　截至北京时间2日午夜，各媒体关于失踪人数的报道差异较大。
　　美联社援引巴达赫尚省省长沙阿·瓦利乌拉·阿迪卜的话报道，暴雨引发的山体滑坡当天掩埋当地一处村庄，可能致使超过2000人失踪。
　　阿迪卜说，一处山体坍塌，掩埋大约300处房屋，占这一地区房屋总数的约三分之一。
　　美国有线电视新闻网（CNN）则报道，有大约2700人失踪。CNN援引地方官员的说法报道，当天正午前先发生一次山体滑坡，掩埋大约300家住户，当周边村庄的村民赶赴现场参加救援时又发生一次滑坡，又有至少600人被掩埋。
　　消息不畅
　　德国新闻社援引省长发言人的话报道，可能有2100人死亡。
　　路透社援引省警察局副局长的消息报道，死者可能超过500人。
　　拜达尔告诉法新社，现阶段尚不清楚死亡人数，但随着官员与搜救人员赶往现场搜寻遗体，死亡人数可能会不断报出并增加。
　　“我们目前没有更多信息，因为在巴达赫尚省的那个区域通信互联匮乏，”他说。
　　位于喀布尔的国家灾难管理局负责人穆罕默德·达耶姆·卡卡尔告诉法新社记者，“过去几天这处村庄一直下雨，接着就是山体滑坡，结果是，村中250个家庭受到波及，我们的消息源说300至500人失踪。”
　　救援困难
　　巴达赫尚省省长阿迪卜说，搜救人员已经开始工作，但缺乏必要设备，搜救几乎无法进行。“我们没有足够的铲车，我们需要更多机械。”另外，因担心山体滑坡持续，当局疏散了附近一处村庄。
　　巴达赫尚省位于阿富汗东北部，是阿富汗最偏远的地区之一，与塔吉克斯坦、中国和巴基斯坦接壤，山脉贯穿这一地区。
　　阿富汗北部一些山区经常发生山体滑坡和雪崩事件。新华社供本报特稿"	-1	0
